"","site","plot","subplot","diversity","id","species","genus","family","growth_form","seed_source_short","percent_change_height","percent_change_number_leaves","percent_change_number_herb_damaged","percent_change_number_fungal_damaged","percent_change_number_necrotic_damaged","percent_change_percent_herb","percent_change_percent_necrose","percent_change_percent_fungal","tot_veg","herb_max","grass","fern","herbaceous","woody","rock","deadwood","leaflitter","moss","saplings","seedlings","delta_height","delta_number_leaves","delta_number_herb_damaged","delta_number_fungal_damaged","delta_number_necrotic_damaged","delta_percent_herb","delta_percent_necrose","delta_percent_fungal"
"32","a","aw14","aw14-ii",1,"135","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI",-45.6140350877193,-84.7457627118644,-63.6363636363636,NA,NA,138.383838383838,NA,NA,0.07,12,0.001,0.01,0.001,0.05,0.03,0.03,0.01,0,6,16,-26,-50,-7,0,0,0.258003766478342,0,0
"33","a","aw14","aw14-ii",1,"16","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI",-77.7777777777778,-60,-50,NA,NA,25,NA,NA,0.07,12,0.001,0.01,0.001,0.05,0.03,0.03,0.01,0,6,16,-7,-3,-2,2,NA,0.2,NA,1
"34","a","aw14","aw14-ii",1,"178","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI",-6.15384615384615,3.09278350515464,150,NA,NA,142.500000000001,NA,NA,0.07,12,0.001,0.01,0.001,0.05,0.03,0.03,0.01,0,6,16,-4,3,24,3,0,0.235051546391753,0,0.03
"35","a","aw14","aw14-ii",1,"221","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI",0,22.2222222222222,-11.1111111111111,NA,NA,-27.2727272727273,NA,NA,0.07,12,0.001,0.01,0.001,0.05,0.03,0.03,0.01,0,6,16,0,2,-1,0,0,-0.272727272727273,0,0
"36","a","aw14","aw14-ii",1,"322","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI",0,-50,-42.8571428571429,NA,NA,14.2857142857143,NA,NA,0.07,12,0.001,0.01,0.001,0.05,0.03,0.03,0.01,0,6,16,0,-4,-3,1,NA,0.125,NA,0.25
"37","a","aw14","aw14-ii",1,"5","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI",50,40,0,NA,NA,-28.5714285714286,NA,NA,0.07,12,0.001,0.01,0.001,0.05,0.03,0.03,0.01,0,6,16,3,2,0,0,0,-0.285714285714286,0,0
"38","a","aw14","aw14-ii",1,"565","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI",NA,NA,NA,NA,NA,NA,NA,NA,0.07,12,0.001,0.01,0.001,0.05,0.03,0.03,0.01,0,6,16,NA,NA,NA,NA,NA,NA,NA,NA
"39","a","aw14","aw14-ii",1,"606","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI",NA,NA,NA,NA,NA,NA,NA,NA,0.07,12,0.001,0.01,0.001,0.05,0.03,0.03,0.01,0,6,16,NA,NA,NA,NA,NA,NA,NA,NA
"40","a","aw14","aw14-ii",1,"852","unknown sp.","unknown","unknown","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,12,0.001,0.01,0.001,0.05,0.03,0.03,0.01,0,6,16,NA,NA,NA,NA,NA,NA,NA,NA
"41","a","aw14","aw14-ii",1,"963","trema cannabina","trema","cannabaceae","tree","EI",NA,NA,NA,NA,NA,NA,NA,NA,0.07,12,0.001,0.01,0.001,0.05,0.03,0.03,0.01,0,6,16,NA,NA,NA,NA,NA,NA,NA,NA
"42","a","aw14","aw14-iii",1,"141","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI",9.09090909090909,-33.3333333333333,-20,NA,NA,20,NA,NA,0.1,60,0.03,0.02,0.01,0.01,0.1,0.1,0.03,0.02,7,28,1,-4,-2,0,0,0.166666666666667,0,0
"43","a","aw14","aw14-iii",1,"203","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI",-20,16.6666666666667,16.6666666666667,NA,NA,0,NA,NA,0.1,60,0.03,0.02,0.01,0.01,0.1,0.1,0.03,0.02,7,28,-2,1,1,1,0,0,0,0.142857142857143
"44","a","aw14","aw14-iii",1,"235","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI",-33.3333333333333,-40,-80,NA,NA,-66.6666666666667,NA,NA,0.1,60,0.03,0.02,0.01,0.01,0.1,0.1,0.03,0.02,7,28,-2,-2,-4,0,0,-0.666666666666667,0,0
"45","a","aw14","aw14-iii",1,"403","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI",-20,-8.33333333333333,-8.33333333333333,NA,NA,0,NA,NA,0.1,60,0.03,0.02,0.01,0.01,0.1,0.1,0.03,0.02,7,28,-4,-1,-1,NA,NA,0,NA,NA
"46","a","aw14","aw14-iii",1,"416","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI",-25,-55.5555555555556,-55.5555555555556,NA,NA,0,NA,NA,0.1,60,0.03,0.02,0.01,0.01,0.1,0.1,0.03,0.02,7,28,-2,-5,-5,1,0,0,0,0.25
"47","a","aw14","aw14-iii",1,"494","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI",0,50,20,NA,NA,-19.9999999999999,NA,NA,0.1,60,0.03,0.02,0.01,0.01,0.1,0.1,0.03,0.02,7,28,0,3,1,0,0,-0.166666666666666,0,0
"48","a","aw14","aw14-iv",1,"163","mussaenda esquirolii","musseanda","rubiaceae","shrub/tree","EI",NA,NA,NA,NA,NA,NA,NA,NA,0.03,37,0.001,0.01,0.02,0.001,0.01,0.05,0.001,0,13,19,NA,NA,NA,NA,NA,NA,NA,NA
"49","a","aw14","aw14-iv",1,"183","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI",-12.5,-16.6666666666667,-40,NA,NA,-28,NA,NA,0.03,37,0.001,0.01,0.02,0.001,0.01,0.05,0.001,0,13,19,-1,-1,-2,0,0,-0.233333333333333,0,0
"50","a","aw14","aw14-iv",1,"19","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI",-20,33.3333333333333,50,NA,NA,12.5,NA,NA,0.03,37,0.001,0.01,0.02,0.001,0.01,0.05,0.001,0,13,19,-2,2,2,0,0,0.083333333333333,0,0
"51","a","aw14","aw14-iv",1,"214","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI",-10,-38.4615384615385,60,NA,NA,160,NA,NA,0.03,37,0.001,0.01,0.02,0.001,0.01,0.05,0.001,0,13,19,-3,-5,3,0,0,0.615384615384615,0,0
"52","a","aw14","aw14-iv",1,"31x","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI",NA,NA,NA,NA,NA,NA,NA,NA,0.03,37,0.001,0.01,0.02,0.001,0.01,0.05,0.001,0,13,19,NA,NA,NA,NA,NA,NA,NA,NA
"53","a","aw14","aw14-iv",1,"32","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI",10.8695652173913,57.1428571428571,-16.6666666666667,NA,NA,-46.9696969696969,NA,NA,0.03,37,0.001,0.01,0.02,0.001,0.01,0.05,0.001,0,13,19,5,20,-3,0,4,-0.241558441558441,0.0727272727272727,0
"54","a","aw14","aw14-iv",1,"356","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI",4.34782608695652,32,33.3333333333333,NA,NA,1.01010101010083,NA,NA,0.03,37,0.001,0.01,0.02,0.001,0.01,0.05,0.001,0,13,19,1,8,2,0,0,0.002424242424242,0,0
"55","a","aw14","aw14-iv",1,"358","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI",-7.69230769230769,-50,-33.3333333333333,NA,NA,33.3333333333333,NA,NA,0.03,37,0.001,0.01,0.02,0.001,0.01,0.05,0.001,0,13,19,-1,-2,-1,0,0,0.25,0,0
"56","a","aw14","aw14-iv",1,"378","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI",-100,-100,-100,NA,NA,-100,NA,NA,0.03,37,0.001,0.01,0.02,0.001,0.01,0.05,0.001,0,13,19,-5,-4,-1,0,0,-0.25,0,0
"57","a","aw14","aw14-iv",1,"433","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI",-13.3333333333333,-50,-50,NA,NA,0,NA,NA,0.03,37,0.001,0.01,0.02,0.001,0.01,0.05,0.001,0,13,19,-2,-3,-3,0,0,0,0,0
"58","a","aw14","aw14-iv",1,"446","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI",-9.75609756097561,42.8571428571429,-63.6363636363636,NA,NA,-74.5454545454546,NA,NA,0.03,37,0.001,0.01,0.02,0.001,0.01,0.05,0.001,0,13,19,-4,18,-14,0,0,-0.390476190476191,0,0
"59","a","aw14","aw14-iv",1,"461","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI",-18.75,-44.4444444444444,-28.5714285714286,NA,NA,28.5714285714285,NA,NA,0.03,37,0.001,0.01,0.02,0.001,0.01,0.05,0.001,0,13,19,-3,-4,-2,0,0,0.222222222222222,0,0
"60","a","aw14","aw14-iv",1,"66","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI",-22.2222222222222,-50,-25,-100,NA,49.9999999999999,NA,-100,0.03,37,0.001,0.01,0.02,0.001,0.01,0.05,0.001,0,13,19,-2,-3,-1,-2,0,0.333333333333333,0,-0.333333333333333
"61","a","aw14","aw14-iv",1,"847","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI",NA,NA,NA,NA,NA,NA,NA,NA,0.03,37,0.001,0.01,0.02,0.001,0.01,0.05,0.001,0,13,19,NA,NA,NA,NA,NA,NA,NA,NA
"62","a","ac32","ac32-i",2,"276","lindera reflexa","lindera","lauraceae","shrub/tree","EI",0,-8.33333333333333,NA,NA,NA,NA,NA,NA,0.25,27,0.03,0,0.01,0.2,0,0.02,0.05,0.03,3,2,0,-1,3,0,1,0.272727272727273,0.0909090909090909,0
"63","a","ac32","ac32-i",2,"327","lindera reflexa","lindera","lauraceae","shrub/tree","EI",0,-24.0740740740741,NA,NA,NA,NA,NA,NA,0.25,27,0.03,0,0.01,0.2,0,0.02,0.05,0.03,3,2,0,-13,4,6,0,0.0975609756097561,0,0.146341463414634
"64","a","ac32","ac32-i",2,"597","lindera reflexa","lindera","lauraceae","shrub/tree","EI",-10.2941176470588,0,NA,NA,NA,NA,NA,NA,0.25,27,0.03,0,0.01,0.2,0,0.02,0.05,0.03,3,2,-7,0,80,0,0,0.8,0,0
"65","a","ac32","ac32-ii",2,"333","syzygium buxifolium","syzygium","myrtaceae","shrub/tree","II",10.9375,0,NA,NA,NA,NA,NA,NA,0.4,82,0.01,0.15,0.1,0.15,0,0.03,0.02,0.1,2,4,7,0,70,0,50,0.233333333333333,0.166666666666667,0
"66","a","ac32","ac32-ii",2,"666","quercus fabri","quercus","fagaceae","tree","II",0,15.3846153846154,233.333333333333,NA,-100,188.888888888889,-100,NA,0.4,82,0.01,0.15,0.1,0.15,0,0.03,0.02,0.1,2,4,0,4,21,3,-3,0.653846153846154,-0.115384615384615,0.1
"67","a","ac32","ac32-iii",2,"660","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI",25.3012048192771,50,NA,NA,NA,NA,NA,NA,0.3,48,0.001,0.15,0.05,0.1,0,0.02,0.4,0,2,5,21,150,30,0,15,0.0666666666666667,0.0333333333333333,0
"68","a","ac32","ac32-iii",2,"667","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI",11.6883116883117,43.3333333333333,1850,NA,NA,1260.46511627907,NA,NA,0.3,48,0.001,0.15,0.05,0.1,0,0.02,0.4,0,2,5,9,26,74,0,0,0.840310077519379,0,0
"69","a","ac32","ac32-iv",2,"1740","ilex suaveolens","ilex","aquifoliaceae","shrub/tree","EI",0,102.702702702703,1525,NA,NA,701.666666666665,NA,NA,0.2,32,0.02,0.05,0.05,0.05,0,0.01,0.05,0.05,2,1,0,76,61,0,0,0.379279279279279,0,0
"70","a","ac32","ac32-iv",2,"349","ilex suaveolens","ilex","aquifoliaceae","shrub/tree","EI",NA,NA,NA,NA,NA,NA,NA,NA,0.2,32,0.02,0.05,0.05,0.05,0,0.01,0.05,0.05,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"71","a","ac32","ac32-iv",2,"716","camellia sinensis","camellia","theaceae","shrub/tree","EI",NA,NA,NA,NA,NA,NA,NA,NA,0.2,32,0.02,0.05,0.05,0.05,0,0.01,0.05,0.05,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"72","a","ap23","ap23-i",2,"888","syzygium buxifolium","syzygium","myrtaceae","shrub/tree","II",NA,NA,NA,NA,NA,NA,NA,NA,0.001,25,0,0,0,0.001,0,0.01,0.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"73","a","ar14","ar14-iv",1,"892","smilax china","smilax","smilacaceae","shrub/liana","EI",NA,NA,NA,NA,NA,NA,NA,NA,0.03,61,0,0.03,0.001,0,0,0,0.4,0.02,0,2,NA,NA,NA,NA,NA,NA,NA,NA
"74","a","ar14","ar14-iv",1,"980","smilax china","smilax","smilacaceae","shrub/liana","EI",NA,NA,NA,NA,NA,NA,NA,NA,0.03,61,0,0.03,0.001,0,0,0,0.4,0.02,0,2,NA,NA,NA,NA,NA,NA,NA,NA
"75","a","ae33","ae33-ii",1,"299","lithocarpus glaber","lithocarpus","fagaceae","tree","R",-1.31578947368421,-2.08333333333333,-45.4545454545455,-100,NA,-44.2940038684721,NA,-100,0.02,9,0,0.01,0,0.01,0,0.03,0.7,0.05,1,1,-1,-1,-5,-12,2,-0.101507092198582,0.0425531914893617,-0.25
"76","a","ae33","ae33-iii",1,"110","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",-15.3846153846154,-38.4615384615385,NA,NA,NA,NA,NA,NA,0.05,35,0,0,0.01,0.05,0.02,0.05,0.85,0,9,3,-2,-5,2,0,0,0.25,0,0
"77","a","ae33","ae33-iii",1,"185","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",-14.2857142857143,100,NA,NA,NA,NA,NA,NA,0.05,35,0,0,0.01,0.05,0.02,0.05,0.85,0,9,3,-2,5,0,1,0,0,0,0.1
"78","a","ae33","ae33-iii",1,"288","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",NA,NA,NA,NA,NA,NA,NA,NA,0.05,35,0,0,0.01,0.05,0.02,0.05,0.85,0,9,3,NA,NA,NA,NA,NA,NA,NA,NA
"79","a","ae33","ae33-iii",1,"292","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",15.625,31.8181818181818,-40,NA,NA,-54.4827586206896,NA,NA,0.05,35,0,0,0.01,0.05,0.02,0.05,0.85,0,9,3,5,7,-2,0,0,-0.123824451410658,0,0
"80","a","ae33","ae33-iii",1,"369","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",-100,-100,-100,NA,NA,-100,NA,NA,0.05,35,0,0,0.01,0.05,0.02,0.05,0.85,0,9,3,-20,-6,-2,0,0,-0.333333333333333,0,0
"81","a","ae33","ae33-iii",1,"399","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI",NA,NA,NA,NA,NA,NA,NA,NA,0.05,35,0,0,0.01,0.05,0.02,0.05,0.85,0,9,3,NA,NA,NA,NA,NA,NA,NA,NA
"82","a","ae33","ae33-iii",1,"402","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",23.5294117647059,-40.7407407407407,-18.1818181818182,NA,NA,38.0681818181816,NA,NA,0.05,35,0,0,0.01,0.05,0.02,0.05,0.85,0,9,3,8,-22,-2,1,0,0.077546296296296,0,0.03125
"83","a","ae33","ae33-iii",1,"405","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",-40.9090909090909,-30.4347826086957,75,NA,NA,151.5625,NA,NA,0.05,35,0,0,0.01,0.05,0.02,0.05,0.85,0,9,3,-9,-7,3,0,3,0.263586956521739,0.1875,0
"84","a","ae33","ae33-iii",1,"41","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",51.8518518518518,27.2727272727273,12.5,NA,NA,-11.6071428571428,NA,NA,0.05,35,0,0,0.01,0.05,0.02,0.05,0.85,0,9,3,14,9,1,0,0,-0.028138528138528,0,0
"85","a","ae33","ae33-iii",1,"637","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",NA,NA,NA,NA,NA,NA,NA,NA,0.05,35,0,0,0.01,0.05,0.02,0.05,0.85,0,9,3,NA,NA,NA,NA,NA,NA,NA,NA
"86","a","ae33","ae33-iii",1,"83","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",14.2857142857143,-13.7931034482759,NA,-33.3333333333333,NA,NA,NA,-22.6666666666667,0.05,35,0,0,0.01,0.05,0.02,0.05,0.85,0,9,3,3,-4,2,-1,0,0.08,0,-0.023448275862069
"87","a","ae33","ae33-iii",1,"987","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",NA,NA,NA,NA,NA,NA,NA,NA,0.05,35,0,0,0.01,0.05,0.02,0.05,0.85,0,9,3,NA,NA,NA,NA,NA,NA,NA,NA
"88","a","ae33","ae33-iv",1,"376","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI",-9.23076923076923,24.4444444444444,-27.2727272727273,NA,NA,-41.5584415584414,NA,NA,0.05,41,0,0.02,0.001,0.02,0.03,0.001,0.7,0.001,1,0,-6,11,-3,0,1,-0.101587301587301,0.0178571428571429,0
"89","a","af21","af21-i",1,"351","clerodendrum cyrtophyllum","clerodendrum","lamiaceae","shrub/tree","EI",109.677419354839,328.571428571429,NA,NA,NA,NA,NA,NA,0.3,101,0.1,0.15,0.3,0.05,0,0.05,0.1,0,1,0,34,23,8,0,0,0.266666666666667,0,0
"90","a","af21","af21-i",1,"757","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",NA,NA,NA,NA,NA,NA,NA,NA,0.3,101,0.1,0.15,0.3,0.05,0,0.05,0.1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"91","a","af21","af21-ii",1,"572","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI",43.1818181818182,50,NA,NA,NA,NA,NA,NA,0.8,97,0.3,0.15,0.15,0.15,0,0,0.15,0,2,11,19,50,20,0,0,0.133333333333333,0,0
"92","a","af21","af21-ii",1,"578","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI",73.3333333333333,110,NA,NA,NA,NA,NA,NA,0.8,97,0.3,0.15,0.15,0.15,0,0,0.15,0,2,11,33,110,21,0,0,0.1,0,0
"93","a","af21","af21-ii",1,"878","loropetalum chinense","loropetalum","hamamelidaceae","shrub","II",NA,NA,NA,NA,NA,NA,NA,NA,0.8,97,0.3,0.15,0.15,0.15,0,0,0.15,0,2,11,NA,NA,NA,NA,NA,NA,NA,NA
