"","date","year","site","plot","subplot","type","diversity","id","species","genus","family","growth_form","seed_source_short","survival","height","number_leaves","number_herb_damaged","percent_hmin","percent_hmax","number_fungal_damaged","percent_fungal","percent_fmin","percent_fmax","number_necrotic_damaged","percent_necrose","percent_nmin","percent_nmax","tot_veg","percent_herb","herb_max","grass","fern","herbaceous","woody","saplings","seedlings","open_ground","rock","leaflitter","leaflitter_dept","deadwood","moss","rli","soil_h20","soil_ph_k_cl","soil_n","soil_c","soil_c_n","soil_h20_all","soil_ph_k_cl_all","soil_n_all","soil_c_all","soil_c_n_all","notes"
"11","2024-05-26",2024,"a","ac32","ac32-iv",NA,2,"716","camellia sinensis","camellia","theaceae","shrub/tree","ei","1",103,200,40,0.01,0.5,10,0.05,0.01,0.1,0,0,NA,NA,0.3,NA,95,0.1,0.15,0.01,0.05,NA,NA,0.2,0,0.35,NA,0,0.15,22.1122176658205,4.805,3.785,0.214426144957542,3.19129800796509,14.8864112534621,4.673,3.735,0.140428450703621,1.7618909239769,12.0010159795506," largely outside plot"
"12","2024-05-26",2024,"a","ac32","ac32-iv",NA,2,"716","camellia sinensis","camellia","theaceae","shrub/tree","ei","1",103,200,40,0.01,0.5,10,0.05,0.01,0.1,0,0,NA,NA,0.3,NA,95,0.1,0.15,0.01,0.05,NA,NA,0.2,0,0.35,NA,0,0.15,22.1122176658205,4.805,3.785,0.214426144957542,3.19129800796509,14.8864112534621,4.673,3.735,0.140428450703621,1.7618909239769,12.0010159795506," largely outside plot"
"13","2024-05-26",2024,"a","ac32","ac32-iv",NA,2,"349","ilex suaveolens","ilex","aquifoliaceae","shrub/tree","ei","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,95,0.1,0.15,0.01,0.05,NA,NA,0.2,0,0.35,NA,0,0.15,22.1122176658205,4.805,3.785,0.214426144957542,3.19129800796509,14.8864112534621,4.673,3.735,0.140428450703621,1.7618909239769,12.0010159795506," same individual as 1740"
"14","2024-05-26",2024,"a","ac32","ac32-iv",NA,2,"349","ilex suaveolens","osmanthus","oleaceae","shrub/tree","ei","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,95,0.1,0.15,0.01,0.05,NA,NA,0.2,0,0.35,NA,0,0.15,22.1122176658205,4.805,3.785,0.214426144957542,3.19129800796509,14.8864112534621,4.673,3.735,0.140428450703621,1.7618909239769,12.0010159795506," same individual as 1740"
"15","2024-05-26",2024,"a","ac32","ac32-iv",NA,2,"1740","ilex suaveolens","ilex","aquifoliaceae","shrub/tree","ei","1",88,210,42,0.01,0.5,21,0.1,0.01,0.1,0,0,NA,NA,0.3,NA,95,0.1,0.15,0.01,0.05,NA,NA,0.2,0,0.35,NA,0,0.15,22.1122176658205,4.805,3.785,0.214426144957542,3.19129800796509,14.8864112534621,4.673,3.735,0.140428450703621,1.7618909239769,12.0010159795506," new label, was 775.; 5b"
"16","2024-05-26",2024,"a","ac32","ac32-iv",NA,2,"1420","seedling","unknown","unknown","unknown",NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,95,0.1,0.15,0.01,0.05,NA,NA,0.2,0,0.35,NA,0,0.15,22.1122176658205,4.805,3.785,0.214426144957542,3.19129800796509,14.8864112534621,4.673,3.735,0.140428450703621,1.7618909239769,12.0010159795506," "
"17","2024-05-26",2024,"a","ac32","ac32-iv",NA,2,"1592","recruit",NA,NA,NA,NA,"n",39,64,28,0.05,0.9,7,0.109375,0.01,0.1,0,0,NA,NA,0.3,NA,95,0.1,0.15,0.01,0.05,NA,NA,0.2,0,0.35,NA,0,0.15,22.1122176658205,4.805,3.785,0.214426144957542,3.19129800796509,14.8864112534621,4.673,3.735,0.140428450703621,1.7618909239769,12.0010159795506," "
"18","2024-05-20",2024,"a","ae31","ae31-i",NA,1,"92","quercus serrata","quercus","fagaceae","tree","ii","1",42,33,26,0.03,0.33,2,0.0606060606060606,0.05,0.1,0,0,NA,NA,0.2,NA,46,0,0.05,0.01,0.15,NA,NA,0.05,0,0.45,2,0.1,0.2,6.92743070427706,4.82,3.855,0.184654347598553,2.39487159252167,12.6272985706999,4.808,3.839,0.0960831537842751,0.979934334754944,9.11207902647672,"cunninghamia "
"19","2024-05-20",2024,"a","ae31","ae31-i",NA,1,"340","quercus serrata","quercus","fagaceae","tree","ii","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,46,0,0.05,0.01,0.15,NA,NA,0.05,0,0.45,2,0.1,0.2,6.92743070427706,4.82,3.855,0.184654347598553,2.39487159252167,12.6272985706999,4.808,3.839,0.0960831537842751,0.979934334754944,9.11207902647672,"cunninghamia "
"20","2024-05-20",2024,"a","ae31","ae31-ii",NA,1,"250","dalbergia hupeana","dalbergia","fabaceae","tree","ei","1",91,7,4,0.1,0.15,0,0,NA,NA,0,0,NA,NA,0.4,NA,70,0,0.1,0.01,0.3,NA,NA,0,0,0.4,3,0.15,0.05,5.7422582328208,4.82,3.855,0.184654347598553,2.39487159252167,12.6272985706999,4.808,3.839,0.0960831537842751,0.979934334754944,9.11207902647672,"cunninghamia "
"21","2024-05-20",2024,"a","ae31","ae31-iii",NA,1,"290","seedling","quercus","fagaceae","tree","not clear","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,55,0,0.05,0.03,0.4,NA,NA,0,0,0.5,2,0.01,0,7.15832664897884,4.82,3.855,0.184654347598553,2.39487159252167,12.6272985706999,4.808,3.839,0.0960831537842751,0.979934334754944,9.11207902647672,"cunninghamia "
"22","2024-05-20",2024,"a","ae31","ae31-iii",NA,1,"408","ilex pubescens","ilex","aquifoliaceae","shrub/tree","ei","1",42,49,17,0.01,0.5,5,0.102040816326531,0.01,0.15,0,0,NA,NA,0.5,NA,55,0,0.05,0.03,0.4,NA,NA,0,0,0.5,2,0.01,0,7.15832664897884,4.82,3.855,0.184654347598553,2.39487159252167,12.6272985706999,4.808,3.839,0.0960831537842751,0.979934334754944,9.11207902647672,"cunninghamia "
"23","2024-05-20",2024,"a","ae31","ae31-iii",NA,1,"493","ilex pubescens","ilex","aquifoliaceae","shrub/tree","ei","1",41,79,21,0.01,NA,1,0.0126582278481013,0.15,0.15,0,0,NA,NA,0.5,NA,55,0,0.05,0.03,0.4,NA,NA,0,0,0.5,2,0.01,0,7.15832664897884,4.82,3.855,0.184654347598553,2.39487159252167,12.6272985706999,4.808,3.839,0.0960831537842751,0.979934334754944,9.11207902647672,"cunninghamia "
"24","2024-05-20",2024,"a","ae31","ae31-iii",NA,1,"248","rhododendron simsii","rhododendron","ericaceae","shrub","asp","1",45,32,5,0.01,0.01,0,0,NA,NA,0,0,NA,NA,0.5,NA,55,0,0.05,0.03,0.4,NA,NA,0,0,0.5,2,0.01,0,7.15832664897884,4.82,3.855,0.184654347598553,2.39487159252167,12.6272985706999,4.808,3.839,0.0960831537842751,0.979934334754944,9.11207902647672,"cunninghamia "
"25","2024-05-20",2024,"a","ae31","ae31-iii",NA,1,"364","rhododendron simsii","rhododendron","ericaceae","shrub","asp","1",42,200,20,0.01,0.5,10,0.05,0.05,0.2,0,0,NA,NA,0.5,NA,55,0,0.05,0.03,0.4,NA,NA,0,0,0.5,2,0.01,0,7.15832664897884,4.82,3.855,0.184654347598553,2.39487159252167,12.6272985706999,4.808,3.839,0.0960831537842751,0.979934334754944,9.11207902647672,"cunninghamia 4b"
"26","2024-05-20",2024,"a","ae31","ae31-iii",NA,1,"211b","rhododendron simsii","rhododendron","ericaceae","shrub",NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,55,0,0.05,0.03,0.4,NA,NA,0,0,0.5,2,0.01,0,7.15832664897884,4.82,3.855,0.184654347598553,2.39487159252167,12.6272985706999,4.808,3.839,0.0960831537842751,0.979934334754944,9.11207902647672,"cunninghamia "
"27","2024-05-20",2024,"a","ae31","ae31-iii",NA,1,"1697","seedling","unknown","unknown","unknown",NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,55,0,0.05,0.03,0.4,NA,NA,0,0,0.5,2,0.01,0,7.15832664897884,4.82,3.855,0.184654347598553,2.39487159252167,12.6272985706999,4.808,3.839,0.0960831537842751,0.979934334754944,9.11207902647672,"cunninghamia "
"28","2024-05-20",2024,"a","ae31","ae31-iv",NA,1,"421","camellia japonica","camellia","theaceae","shrub/tree","ei","1",73,120,11,0.01,0.1,2,0.0166666666666667,0.05,0.2,0,0,NA,NA,0.2,NA,71,0,0.1,0.1,0.02,NA,NA,0.01,0,0.8,2,0.01,0.1,6.68603206163788,4.82,3.855,0.184654347598553,2.39487159252167,12.6272985706999,4.808,3.839,0.0960831537842751,0.979934334754944,9.11207902647672," "
"29","2024-05-20",2024,"a","ae31","ae31-iv",NA,1,"308","loropetalum chinense","loropetalum","hamamelidaceae","shrub/tree","ii","1",59,250,13,0.01,0.25,1,0.004,0.15,0.15,0,0,NA,NA,0.2,NA,71,0,0.1,0.1,0.02,NA,NA,0.01,0,0.8,2,0.01,0.1,6.68603206163788,4.82,3.855,0.184654347598553,2.39487159252167,12.6272985706999,4.808,3.839,0.0960831537842751,0.979934334754944,9.11207902647672," 4b"
"30","2024-05-20",2024,"a","ae31","ae31-iv",NA,1,"308","loropetalum chinense","loropetalum","hamamelidaceae","shrub/tree","ii","1",59,250,13,0.01,0.25,1,0.004,0.15,0.15,0,0,NA,NA,0.2,NA,71,0,0.1,0.1,0.02,NA,NA,0.01,0,0.8,2,0.01,0.1,6.68603206163788,4.82,3.855,0.184654347598553,2.39487159252167,12.6272985706999,4.808,3.839,0.0960831537842751,0.979934334754944,9.11207902647672," 4b"
"31","2024-05-20",2024,"a","ae31","ae31-iv",NA,1,"1951","loropetalum chinense","loropetalum","hamamelidaceae","shrub/tree","ii","r",29,100,4,0.01,0.05,0,0,NA,NA,0,0,NA,NA,0.2,NA,71,0,0.1,0.1,0.02,NA,NA,0.01,0,0.8,2,0.01,0.1,6.68603206163788,4.82,3.855,0.184654347598553,2.39487159252167,12.6272985706999,4.808,3.839,0.0960831537842751,0.979934334754944,9.11207902647672," leavs from 35 to 100"
"32","2024-05-20",2024,"a","ae31","ae31-iv",NA,1,"308x","loropetalum chinense","loropetalum","hamamelidaceae","shrub/tree","ii","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,71,0,0.1,0.1,0.02,NA,NA,0.01,0,0.8,2,0.01,0.1,6.68603206163788,4.82,3.855,0.184654347598553,2.39487159252167,12.6272985706999,4.808,3.839,0.0960831537842751,0.979934334754944,9.11207902647672," "
"33","2024-05-20",2024,"a","ae31","ae31-iv",NA,1,"302","rhododendron simsii","rhododendron","ericaceae","shrub","asp","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,71,0,0.1,0.1,0.02,NA,NA,0.01,0,0.8,2,0.01,0.1,6.68603206163788,4.82,3.855,0.184654347598553,2.39487159252167,12.6272985706999,4.808,3.839,0.0960831537842751,0.979934334754944,9.11207902647672," "
"34","2024-05-20",2024,"a","ae31","ae31-iv",NA,1,"1965","seedling","unknown","unknown","unknown",NA,"d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,71,0,0.1,0.1,0.02,NA,NA,0.01,0,0.8,2,0.01,0.1,6.68603206163788,4.82,3.855,0.184654347598553,2.39487159252167,12.6272985706999,4.808,3.839,0.0960831537842751,0.979934334754944,9.11207902647672," "
"35","2024-05-20",2024,"a","ae31","ae31-iv",NA,1,"1714","recruit",NA,NA,NA,NA,"n",19,100,5,0.01,0.03,0,0,NA,NA,0,0,NA,NA,0.2,NA,71,0,0.1,0.1,0.02,NA,NA,0.01,0,0.8,2,0.01,0.1,6.68603206163788,4.82,3.855,0.184654347598553,2.39487159252167,12.6272985706999,4.808,3.839,0.0960831537842751,0.979934334754944,9.11207902647672," couldb be 302"
"36","2024-05-20",2024,"a","ae33","ae33-ii",NA,1,"299","lithocarpus glaber","lithocarpus","fagaceae","tree","r","r",66,57,18,0.01,0.5,5,0.087719298245614,0.01,0.5,0,0,NA,NA,0.1,NA,69,0,0.05,0,0.05,NA,NA,0.05,0,0.7,2,0.1,0.05,26.8995811030952,4.955,3.94,0.179992280900478,2.27602899074554,12.6138495755583,4.887,3.868,0.115493279695511,1.22525898218155,10.1718342840966," outgrowth of planted sapling"
"37","2024-05-20",2024,"a","ae33","ae33-ii",NA,1,"1891","seedling",NA,NA,NA,NA,"s",4,2,1,0.05,0.05,0,0,NA,NA,0,0,NA,NA,0.1,NA,69,0,0.05,0,0.05,NA,NA,0.05,0,0.7,2,0.1,0.05,26.8995811030952,4.955,3.94,0.179992280900478,2.27602899074554,12.6138495755583,4.887,3.868,0.115493279695511,1.22525898218155,10.1718342840966," "
"38","2024-05-20",2024,"a","ae33","ae33-ii",NA,1,"1926","eurya muricata","eurya","pentaphylacaceae","shrub/tree",NA,"n",18,3,2,0.1,0.2,0,0,NA,NA,0,0,NA,NA,0.1,NA,69,0,0.05,0,0.05,NA,NA,0.05,0,0.7,2,0.1,0.05,26.8995811030952,4.955,3.94,0.179992280900478,2.27602899074554,12.6138495755583,4.887,3.868,0.115493279695511,1.22525898218155,10.1718342840966," probably same individual 110"
"39","2024-05-20",2024,"a","ae33","ae33-ii",NA,1,"1806","seedling",NA,NA,NA,NA,"s",11,3,1,1,1,0,0,NA,NA,0,0,NA,NA,0.1,NA,69,0,0.05,0,0.05,NA,NA,0.05,0,0.7,2,0.1,0.05,26.8995811030952,4.955,3.94,0.179992280900478,2.27602899074554,12.6138495755583,4.887,3.868,0.115493279695511,1.22525898218155,10.1718342840966," probably same individual 110"
"40","2024-05-20",2024,"a","ae33","ae33-iii",NA,1,"399","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","ei","1",46,120,24,0.01,0.45,54,0.45,0.01,0.25,0,0,NA,NA,0.15,NA,27,0,0.01,0.05,0.1,NA,NA,0.01,0.05,0.75,2,0.05,0.01,23.5127710561693,4.955,3.94,0.179992280900478,2.27602899074554,12.6138495755583,4.887,3.868,0.115493279695511,1.22525898218155,10.1718342840966," "
"41","2024-05-20",2024,"a","ae33","ae33-iii",NA,1,"399","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","ei","1",46,120,24,0.01,0.45,54,0.45,0.01,0.25,0,0,NA,NA,0.15,NA,27,0,0.01,0.05,0.1,NA,NA,0.01,0.05,0.75,2,0.05,0.01,23.5127710561693,4.955,3.94,0.179992280900478,2.27602899074554,12.6138495755583,4.887,3.868,0.115493279695511,1.22525898218155,10.1718342840966," "
"42","2024-05-20",2024,"a","ae33","ae33-iii",NA,1,"41","eurya muricata","eurya","pentaphylacaceae","shrub/tree","ii","si",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,27,0,0.01,0.05,0.1,NA,NA,0.01,0.05,0.75,2,0.05,0.01,23.5127710561693,4.955,3.94,0.179992280900478,2.27602899074554,12.6138495755583,4.887,3.868,0.115493279695511,1.22525898218155,10.1718342840966," same individual as 83"
"43","2024-05-20",2024,"a","ae33","ae33-iii",NA,1,"83","eurya muricata","eurya","pentaphylacaceae","shrub/tree","ii","1",38,300,45,0.01,0.5,30,0.1,0.01,0.45,0,0,NA,NA,0.15,NA,27,0,0.01,0.05,0.1,NA,NA,0.01,0.05,0.75,2,0.05,0.01,23.5127710561693,4.955,3.94,0.179992280900478,2.27602899074554,12.6138495755583,4.887,3.868,0.115493279695511,1.22525898218155,10.1718342840966," same individual as several others"
"44","2024-05-20",2024,"a","ae33","ae33-iii",NA,1,"110","eurya muricata","eurya","pentaphylacaceae","shrub/tree","ii","1",14,23,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.15,NA,27,0,0.01,0.05,0.1,NA,NA,0.01,0.05,0.75,2,0.05,0.01,23.5127710561693,4.955,3.94,0.179992280900478,2.27602899074554,12.6138495755583,4.887,3.868,0.115493279695511,1.22525898218155,10.1718342840966," "
"45","2024-05-20",2024,"a","ae33","ae33-iii",NA,1,"185","eurya muricata","eurya","pentaphylacaceae","shrub/tree","ii","si",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,27,0,0.01,0.05,0.1,NA,NA,0.01,0.05,0.75,2,0.05,0.01,23.5127710561693,4.955,3.94,0.179992280900478,2.27602899074554,12.6138495755583,4.887,3.868,0.115493279695511,1.22525898218155,10.1718342840966," same individual as 110"
"46","2024-05-20",2024,"a","ae33","ae33-iii",NA,1,"292","eurya muricata","eurya","pentaphylacaceae","shrub/tree","ii","si",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,27,0,0.01,0.05,0.1,NA,NA,0.01,0.05,0.75,2,0.05,0.01,23.5127710561693,4.955,3.94,0.179992280900478,2.27602899074554,12.6138495755583,4.887,3.868,0.115493279695511,1.22525898218155,10.1718342840966," same individual as 83"
"47","2024-05-20",2024,"a","ae33","ae33-iii",NA,1,"369","eurya muricata","eurya","pentaphylacaceae","shrub/tree","ii","a",19,2,0,NA,NA,2,1,0.05,0.15,0,0,NA,NA,0.15,NA,27,0,0.01,0.05,0.1,NA,NA,0.01,0.05,0.75,2,0.05,0.01,23.5127710561693,4.955,3.94,0.179992280900478,2.27602899074554,12.6138495755583,4.887,3.868,0.115493279695511,1.22525898218155,10.1718342840966," probably same individual 110"
"48","2024-05-20",2024,"a","ae33","ae33-iii",NA,1,"402","eurya muricata","eurya","pentaphylacaceae","shrub/tree","ii","si",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,27,0,0.01,0.05,0.1,NA,NA,0.01,0.05,0.75,2,0.05,0.01,23.5127710561693,4.955,3.94,0.179992280900478,2.27602899074554,12.6138495755583,4.887,3.868,0.115493279695511,1.22525898218155,10.1718342840966," same individual as 83"
"49","2024-05-20",2024,"a","ae33","ae33-iii",NA,1,"405","eurya muricata","eurya","pentaphylacaceae","shrub/tree","ii","1",21,30,9,0.01,0.15,3,0.1,0.01,0.05,0,0,NA,NA,0.15,NA,27,0,0.01,0.05,0.1,NA,NA,0.01,0.05,0.75,2,0.05,0.01,23.5127710561693,4.955,3.94,0.179992280900478,2.27602899074554,12.6138495755583,4.887,3.868,0.115493279695511,1.22525898218155,10.1718342840966," probably same individual 110"
"50","2024-05-20",2024,"a","ae33","ae33-iii",NA,1,"637","eurya muricata","eurya","pentaphylacaceae","shrub/tree","ii","si",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,27,0,0.01,0.05,0.1,NA,NA,0.01,0.05,0.75,2,0.05,0.01,23.5127710561693,4.955,3.94,0.179992280900478,2.27602899074554,12.6138495755583,4.887,3.868,0.115493279695511,1.22525898218155,10.1718342840966," same individual as 83"
"51","2024-05-20",2024,"a","ae33","ae33-iii",NA,1,"987","eurya muricata","eurya","pentaphylacaceae","shrub/tree","ii","si",22,4,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0.15,NA,27,0,0.01,0.05,0.1,NA,NA,0.01,0.05,0.75,2,0.05,0.01,23.5127710561693,4.955,3.94,0.179992280900478,2.27602899074554,12.6138495755583,4.887,3.868,0.115493279695511,1.22525898218155,10.1718342840966," "
"52","2024-05-20",2024,"a","ae33","ae33-iii",NA,1,"288b","eurya muricata","eurya","pentaphylacaceae","shrub/tree",NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,27,0,0.01,0.05,0.1,NA,NA,0.01,0.05,0.75,2,0.05,0.01,23.5127710561693,4.955,3.94,0.179992280900478,2.27602899074554,12.6138495755583,4.887,3.868,0.115493279695511,1.22525898218155,10.1718342840966," check label?"
"53","2024-05-20",2024,"a","ae33","ae33-iv",NA,1,"376","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","ei","1",69,102,37,0.01,0.33,12,0.117647058823529,0.01,0.5,0,0,NA,NA,0.1,NA,52,0,0.07,0,0.03,NA,NA,0.01,0.01,0.85,3,0.01,0,15.2650746268657,4.955,3.94,0.179992280900478,2.27602899074554,12.6138495755583,4.887,3.868,0.115493279695511,1.22525898218155,10.1718342840966," "
"54","2024-05-26",2024,"a","af21","af21-i",NA,1,"351","clerodendrum cyrtophyllum","clerodendrum","lamiaceae","shrub/tree","ei","1",96,110,83,0.01,0.75,6,0.0545454545454545,0.01,0.35,0,0,NA,NA,0.8,NA,100,0.1,0.4,0.01,0.3,NA,NA,0.05,0,0.1,1,0.05,0,33.4177351578494,4.7,3.75,0.257208831608295,3.51854836940765,13.618215335474,4.674,3.708,0.147538250684738,1.71774020195007,10.8236909025371," "
"55","2024-05-26",2024,"a","af21","af21-i",NA,1,"757","eurya muricata","eurya","pentaphylacaceae","shrub/tree","ii","1",62,51,6,0.01,0.1,0,0,NA,NA,0,0,NA,NA,0.8,NA,100,0.1,0.4,0.01,0.3,NA,NA,0.05,0,0.1,1,0.05,0,33.4177351578494,4.7,3.75,0.257208831608295,3.51854836940765,13.618215335474,4.674,3.708,0.147538250684738,1.71774020195007,10.8236909025371," "
"56","2024-05-26",2024,"a","af21","af21-ii",NA,1,"572","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","ei","1",84,190,19,0.01,0.2,10,0.0526315789473684,0.01,0.2,0,0,NA,NA,0.75,NA,83,0.45,0.01,0.01,0.3,NA,NA,0,0,0.25,2,0,0,14.5616140909275,4.7,3.75,0.257208831608295,3.51854836940765,13.618215335474,4.674,3.708,0.147538250684738,1.71774020195007,10.8236909025371," "
"57","2024-05-26",2024,"a","af21","af21-ii",NA,1,"578","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","ei","1",108,300,30,0.01,0.5,3,0.01,0.01,0.1,0,0,NA,NA,0.75,NA,83,0.45,0.01,0.01,0.3,NA,NA,0,0,0.25,2,0,0,14.5616140909275,4.7,3.75,0.257208831608295,3.51854836940765,13.618215335474,4.674,3.708,0.147538250684738,1.71774020195007,10.8236909025371," "
