"date","site","plot","subplot","diversity","id","species","genus","family","growth_form","seed_source_short","tot_veg","herb_max","grass","fern","herbaceous","woody","open_ground","rock","leaflitter","leaflitter_dept","deadwood","moss","notes","survival","height","number_leaves","number_herb_damaged","percent_hmin","percent_hmax","number_fungal_damaged","percent_fungal","percent_fmin","percent_fmax","number_necrotic_damaged","percent_necrose","percent_nmin","percent_nmax","notes2","year","type","month","percent_herb","saplings","seedlings"
2024-05-26,"a","ac32","ac32-ii",2,"333","syzygium buxifolium","syzygium","myrtaceae","shrub/tree",NA,0.65,71,0,0.1,0.35,0.2,0.25,0.01,0.05,1,0,0.05,NA,"1",86,800,8,0.01,0.3,10,0.0125,0.05,0.2,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-26,"a","ac32","ac32-iii",2,"660","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI",0.75,85,0.01,0.45,0.01,0.3,0.15,0,0.05,4,0,0.05,NA,"1",120,400,40,0.01,0.5,20,0.05,0.01,0.25,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-26,"a","ac32","ac32-iii",2,"660","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree",NA,0.75,85,0.01,0.45,0.01,0.3,0.15,0,0.05,4,0,0.05,NA,"1",120,400,40,0.01,0.5,20,0.05,0.01,0.25,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-26,"a","ac32","ac32-iii",2,"667","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI",0.75,85,0.01,0.45,0.01,0.3,0.15,0,0.05,4,0,0.05,NA,"1",91,11,11,0.05,0.15,0,0,NA,NA,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-26,"a","ac32","ac32-iii",2,"667","buddleja lindleyana","buddleja","scrophulariaceae","shrub",NA,0.75,85,0.01,0.45,0.01,0.3,0.15,0,0.05,4,0,0.05,NA,"1",91,11,11,0.05,0.15,0,0,NA,NA,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-26,"a","ac32","ac32-iv",2,"716","camellia sinensis","camellia","theaceae","shrub/tree","EI",0.3,95,0.1,0.15,0.01,0.05,0.2,0,0.35,NA,0,0.15,NA,"1",103,200,40,0.01,0.5,10,0.05,0.01,0.1,0,0,NA,NA,"largely outside plot",2024,NA,NA,NA,NA,NA
2024-05-26,"a","ac32","ac32-iv",2,"716","camellia sinensis","nyssa","nyssaceae","tree",NA,0.3,95,0.1,0.15,0.01,0.05,0.2,0,0.35,NA,0,0.15,NA,"1",103,200,40,0.01,0.5,10,0.05,0.01,0.1,0,0,NA,NA,"largely outside plot",2024,NA,NA,NA,NA,NA
2024-05-26,"a","ac32","ac32-iv",2,"349","ilex suaveolens","ilex","aquifoliaceae","shrub/tree","EI",0.3,95,0.1,0.15,0.01,0.05,0.2,0,0.35,NA,0,0.15,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"same individual as 1740",2024,NA,NA,NA,NA,NA
2024-05-26,"a","ac32","ac32-iv",2,"349","ilex suaveolens","osmanthus","oleaceae","shrub/tree",NA,0.3,95,0.1,0.15,0.01,0.05,0.2,0,0.35,NA,0,0.15,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"same individual as 1740",2024,NA,NA,NA,NA,NA
2024-05-26,"a","ac32","ac32-iv",2,"1740","ilex suaveolens","ilex","aquifoliaceae","shrub/tree","EI",0.3,95,0.1,0.15,0.01,0.05,0.2,0,0.35,NA,0,0.15,NA,"1",88,210,42,0.01,0.5,21,0.1,0.01,0.1,0,0,NA,NA,"new label, was 775.; 5b",2024,NA,NA,NA,NA,NA
2024-05-26,"a","ac32","ac32-iv",2,"1740","ilex suaveolens","ilex","aquifoliaceae","shrub/tree",NA,0.3,95,0.1,0.15,0.01,0.05,0.2,0,0.35,NA,0,0.15,NA,"1",88,210,42,0.01,0.5,21,0.1,0.01,0.1,0,0,NA,NA,"new label, was 775.; 5b",2024,NA,NA,NA,NA,NA
2024-05-26,"a","ac32","ac32-iv",2,"1420","seedling","unknown","unknown","unknown",NA,0.3,95,0.1,0.15,0.01,0.05,0.2,0,0.35,NA,0,0.15,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-26,"a","ac32","ac32-iv",2,"1592","recruit",NA,NA,NA,NA,0.3,95,0.1,0.15,0.01,0.05,0.2,0,0.35,NA,0,0.15,NA,"n",39,64,28,0.05,0.9,7,0.109375,0.01,0.1,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-i",1,"92","quercus serrata","quercus","fagaceae","tree","II",0.2,46,0,0.05,0.01,0.15,0.05,0,0.45,2,0.1,0.2,"cunninghamia","1",42,33,26,0.03,0.33,2,0.0606060606060606,0.05,0.1,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-i",1,"92","quercus serrata","quercus","fagaceae","tree",NA,0.2,46,0,0.05,0.01,0.15,0.05,0,0.45,2,0.1,0.2,"cunninghamia","1",42,33,26,0.03,0.33,2,0.0606060606060606,0.05,0.1,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-i",1,"340","quercus serrata","quercus","fagaceae","tree","II",0.2,46,0,0.05,0.01,0.15,0.05,0,0.45,2,0.1,0.2,"cunninghamia","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-i",1,"340","quercus serrata","quercus","fagaceae","tree",NA,0.2,46,0,0.05,0.01,0.15,0.05,0,0.45,2,0.1,0.2,"cunninghamia","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-ii",1,"250","dalbergia hupeana","dalbergia","fabaceae","tree","EI",0.4,70,0,0.1,0.01,0.3,0,0,0.4,3,0.15,0.05,"cunninghamia","1",91,7,4,0.1,0.15,0,0,NA,NA,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-ii",1,"250","dalbergia hupeana","dalbergia","fabaceae","tree",NA,0.4,70,0,0.1,0.01,0.3,0,0,0.4,3,0.15,0.05,"cunninghamia","1",91,7,4,0.1,0.15,0,0,NA,NA,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-iii",1,"290","seedling","quercus","fagaceae","tree","not clear",0.5,55,0,0.05,0.03,0.4,0,0,0.5,2,0.01,0,"cunninghamia","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-iii",1,"290","seedling","quercus","fagaceae","tree",NA,0.5,55,0,0.05,0.03,0.4,0,0,0.5,2,0.01,0,"cunninghamia","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-iii",1,"408","ilex pubescens","ilex","aquifoliaceae","shrub/tree","EI",0.5,55,0,0.05,0.03,0.4,0,0,0.5,2,0.01,0,"cunninghamia","1",42,49,17,0.01,0.5,5,0.102040816326531,0.01,0.15,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-iii",1,"408","ilex pubescens","ilex","aquifoliaceae","shrub/tree",NA,0.5,55,0,0.05,0.03,0.4,0,0,0.5,2,0.01,0,"cunninghamia","1",42,49,17,0.01,0.5,5,0.102040816326531,0.01,0.15,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-iii",1,"493","ilex pubescens","ilex","aquifoliaceae","shrub/tree","EI",0.5,55,0,0.05,0.03,0.4,0,0,0.5,2,0.01,0,"cunninghamia","1",41,79,21,0.01,NA,1,0.0126582278481013,0.15,0.15,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-iii",1,"493","ilex pubescens","ilex","aquifoliaceae","shrub/tree",NA,0.5,55,0,0.05,0.03,0.4,0,0,0.5,2,0.01,0,"cunninghamia","1",41,79,21,0.01,NA,1,0.0126582278481013,0.15,0.15,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-iii",1,"248","rhododendron simsii","rhododendron","ericaceae","shrub/tree","ASP",0.5,55,0,0.05,0.03,0.4,0,0,0.5,2,0.01,0,"cunninghamia","1",45,32,5,0.01,0.01,0,0,NA,NA,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-iii",1,"248","rhododendron simsii","rhododendron","ericaceae","shrub/tree",NA,0.5,55,0,0.05,0.03,0.4,0,0,0.5,2,0.01,0,"cunninghamia","1",45,32,5,0.01,0.01,0,0,NA,NA,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-iii",1,"364","rhododendron simsii","rhododendron","ericaceae","shrub/tree","ASP",0.5,55,0,0.05,0.03,0.4,0,0,0.5,2,0.01,0,"cunninghamia","1",42,200,20,0.01,0.5,10,0.05,0.05,0.2,0,0,NA,NA,"4b",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-iii",1,"364","rhododendron simsii","rhododendron","ericaceae","shrub/tree",NA,0.5,55,0,0.05,0.03,0.4,0,0,0.5,2,0.01,0,"cunninghamia","1",42,200,20,0.01,0.5,10,0.05,0.05,0.2,0,0,NA,NA,"4b",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-iii",1,"211b","rhododendron simsii",NA,NA,NA,NA,0.5,55,0,0.05,0.03,0.4,0,0,0.5,2,0.01,0,"cunninghamia","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-iii",1,"1697","seedling","unknown","unknown","unknown",NA,0.5,55,0,0.05,0.03,0.4,0,0,0.5,2,0.01,0,"cunninghamia","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-iv",1,"421","camellia japonica","camellia","theaceae","shrub/tree","EI",0.2,71,0,0.1,0.1,0.02,0.01,0,0.8,2,0.01,0.1,NA,"1",73,120,11,0.01,0.1,2,0.0166666666666667,0.05,0.2,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-iv",1,"421","camellia japonica","camellia","theaceae","shrub/tree",NA,0.2,71,0,0.1,0.1,0.02,0.01,0,0.8,2,0.01,0.1,NA,"1",73,120,11,0.01,0.1,2,0.0166666666666667,0.05,0.2,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-iv",1,"308","loropetalum chinense","loropetalum","hamamelidaceae","shrub","II",0.2,71,0,0.1,0.1,0.02,0.01,0,0.8,2,0.01,0.1,NA,"1",59,250,13,0.01,0.25,1,0.004,0.15,0.15,0,0,NA,NA,"4b",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-iv",1,"308","loropetalum chinense","rhododendron","ericaceae","shrub/tree",NA,0.2,71,0,0.1,0.1,0.02,0.01,0,0.8,2,0.01,0.1,NA,"1",59,250,13,0.01,0.25,1,0.004,0.15,0.15,0,0,NA,NA,"4b",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-iv",1,"1951","loropetalum chinense","loropetalum","hamamelidaceae","shrub","II",0.2,71,0,0.1,0.1,0.02,0.01,0,0.8,2,0.01,0.1,NA,"r",29,100,4,0.01,0.05,0,0,NA,NA,0,0,NA,NA,"leavs from 35 to 100",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-iv",1,"308x","loropetalum chinense","loropetalum","hamamelidaceae","shrub","II",0.2,71,0,0.1,0.1,0.02,0.01,0,0.8,2,0.01,0.1,NA,"d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-iv",1,"302","rhododendron simsii","rhododendron","ericaceae","shrub/tree","ASP",0.2,71,0,0.1,0.1,0.02,0.01,0,0.8,2,0.01,0.1,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-iv",1,"302","rhododendron simsii","rhododendron","ericaceae","shrub/tree",NA,0.2,71,0,0.1,0.1,0.02,0.01,0,0.8,2,0.01,0.1,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-iv",1,"1965","seedling","unknown","unknown","unknown",NA,0.2,71,0,0.1,0.1,0.02,0.01,0,0.8,2,0.01,0.1,NA,"d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae31","ae31-iv",1,"1714","recruit",NA,NA,NA,NA,0.2,71,0,0.1,0.1,0.02,0.01,0,0.8,2,0.01,0.1,NA,"n",19,100,5,0.01,0.03,0,0,NA,NA,0,0,NA,NA,"couldb be 302",2024,NA,NA,NA,NA,NA
2024-05-20,NA,"ae33","ae33-i",NA,NA,NA,NA,NA,NA,NA,0.01,16,0,0.01,0,0,0.1,0,0.8,2,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-ii",1,"299","lithocarpus glaber","lithocarpus","fagaceae","tree","R",0.1,69,0,0.05,0,0.05,0.05,0,0.7,2,0.1,0.05,NA,"r",66,57,18,0.01,0.5,5,0.087719298245614,0.01,0.5,0,0,NA,NA,"outgrowth of planted sapling",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-ii",1,"299","lithocarpus glaber","lithocarpus","fagaceae","tree",NA,0.1,69,0,0.05,0,0.05,0.05,0,0.7,2,0.1,0.05,NA,"r",66,57,18,0.01,0.5,5,0.087719298245614,0.01,0.5,0,0,NA,NA,"outgrowth of planted sapling",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-ii",1,"1891","seedling",NA,NA,NA,NA,0.1,69,0,0.05,0,0.05,0.05,0,0.7,2,0.1,0.05,NA,"s",4,2,1,0.05,0.05,0,0,NA,NA,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-ii",1,"1926","eurya muricata",NA,NA,NA,NA,0.1,69,0,0.05,0,0.05,0.05,0,0.7,2,0.1,0.05,NA,"n",18,3,2,0.1,0.2,0,0,NA,NA,0,0,NA,NA,"probably same individual 110",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-ii",1,"1806","seedling",NA,NA,NA,NA,0.1,69,0,0.05,0,0.05,0.05,0,0.7,2,0.1,0.05,NA,"s",11,3,1,1,1,0,0,NA,NA,0,0,NA,NA,"probably same individual 110",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-iii",1,"399","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI",0.15,27,0,0.01,0.05,0.1,0.01,0.05,0.75,2,0.05,0.01,NA,"1",46,120,24,0.01,0.45,54,0.45,0.01,0.25,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-iii",1,"399","adinandra millettii","eurya","pentaphylacaceae","shrub/tree",NA,0.15,27,0,0.01,0.05,0.1,0.01,0.05,0.75,2,0.05,0.01,NA,"1",46,120,24,0.01,0.45,54,0.45,0.01,0.25,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-iii",1,"41","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",0.15,27,0,0.01,0.05,0.1,0.01,0.05,0.75,2,0.05,0.01,NA,"si",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"same individual as 83",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-iii",1,"41","eurya muricata","eurya","pentaphylacaceae","shrub/tree",NA,0.15,27,0,0.01,0.05,0.1,0.01,0.05,0.75,2,0.05,0.01,NA,"si",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"same individual as 83",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-iii",1,"83","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",0.15,27,0,0.01,0.05,0.1,0.01,0.05,0.75,2,0.05,0.01,NA,"1",38,300,45,0.01,0.5,30,0.1,0.01,0.45,0,0,NA,NA,"same individual as several others",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-iii",1,"83","eurya muricata","eurya","pentaphylacaceae","shrub/tree",NA,0.15,27,0,0.01,0.05,0.1,0.01,0.05,0.75,2,0.05,0.01,NA,"1",38,300,45,0.01,0.5,30,0.1,0.01,0.45,0,0,NA,NA,"same individual as several others",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-iii",1,"110","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",0.15,27,0,0.01,0.05,0.1,0.01,0.05,0.75,2,0.05,0.01,NA,"1",14,23,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-iii",1,"110","eurya muricata","eurya","pentaphylacaceae","shrub/tree",NA,0.15,27,0,0.01,0.05,0.1,0.01,0.05,0.75,2,0.05,0.01,NA,"1",14,23,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-iii",1,"185","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",0.15,27,0,0.01,0.05,0.1,0.01,0.05,0.75,2,0.05,0.01,NA,"si",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"same individual as 110",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-iii",1,"185","eurya muricata","eurya","pentaphylacaceae","shrub/tree",NA,0.15,27,0,0.01,0.05,0.1,0.01,0.05,0.75,2,0.05,0.01,NA,"si",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"same individual as 110",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-iii",1,"292","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",0.15,27,0,0.01,0.05,0.1,0.01,0.05,0.75,2,0.05,0.01,NA,"si",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"same individual as 83",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-iii",1,"292","eurya muricata","eurya","pentaphylacaceae","shrub/tree",NA,0.15,27,0,0.01,0.05,0.1,0.01,0.05,0.75,2,0.05,0.01,NA,"si",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"same individual as 83",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-iii",1,"369","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",0.15,27,0,0.01,0.05,0.1,0.01,0.05,0.75,2,0.05,0.01,NA,"a",19,2,0,NA,NA,2,1,0.05,0.15,0,0,NA,NA,"probably same individual 110",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-iii",1,"369","eurya muricata","eurya","pentaphylacaceae","shrub/tree",NA,0.15,27,0,0.01,0.05,0.1,0.01,0.05,0.75,2,0.05,0.01,NA,"a",19,2,0,NA,NA,2,1,0.05,0.15,0,0,NA,NA,"probably same individual 110",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-iii",1,"402","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",0.15,27,0,0.01,0.05,0.1,0.01,0.05,0.75,2,0.05,0.01,NA,"si",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"same individual as 83",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-iii",1,"402","eurya muricata","eurya","pentaphylacaceae","shrub/tree",NA,0.15,27,0,0.01,0.05,0.1,0.01,0.05,0.75,2,0.05,0.01,NA,"si",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"same individual as 83",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-iii",1,"405","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",0.15,27,0,0.01,0.05,0.1,0.01,0.05,0.75,2,0.05,0.01,NA,"1",21,30,9,0.01,0.15,3,0.1,0.01,0.05,0,0,NA,NA,"probably same individual 110",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-iii",1,"405","eurya muricata","eurya","pentaphylacaceae","shrub/tree",NA,0.15,27,0,0.01,0.05,0.1,0.01,0.05,0.75,2,0.05,0.01,NA,"1",21,30,9,0.01,0.15,3,0.1,0.01,0.05,0,0,NA,NA,"probably same individual 110",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-iii",1,"637","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",0.15,27,0,0.01,0.05,0.1,0.01,0.05,0.75,2,0.05,0.01,NA,"si",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"same individual as 83",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-iii",1,"987","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",0.15,27,0,0.01,0.05,0.1,0.01,0.05,0.75,2,0.05,0.01,NA,"si",22,4,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-iii",1,"288b","eurya muricata",NA,NA,NA,NA,0.15,27,0,0.01,0.05,0.1,0.01,0.05,0.75,2,0.05,0.01,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"check label?",2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-iv",1,"376","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI",0.1,52,0,0.07,0,0.03,0.01,0.01,0.85,3,0.01,0,NA,"1",69,102,37,0.01,0.33,12,0.117647058823529,0.01,0.5,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-20,"a","ae33","ae33-iv",1,"376","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree",NA,0.1,52,0,0.07,0,0.03,0.01,0.01,0.85,3,0.01,0,NA,"1",69,102,37,0.01,0.33,12,0.117647058823529,0.01,0.5,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-26,"a","af21","af21-i",1,"351","clerodendrum cyrtophyllum","clerodendrum","lamiaceae","shrub/tree","EI",0.8,100,0.1,0.4,0.01,0.3,0.05,0,0.1,1,0.05,0,NA,"1",96,110,83,0.01,0.75,6,0.0545454545454545,0.01,0.35,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
