"","date","site","plot","subplot","diversity","id","species","genus","family","growth_form","seed_source_short","type","survival","height","number_leaves","number_herb_damaged","number_fungal_damaged","number_necrotic_damaged","percent_hmin","percent_hmax","percent_fmin","percent_fmax","percent_nmin","percent_nmax","month","year","percent_herb","percent_necrose","percent_fungal","notes"
"31",2023-09-08,"a","aw14","aw14-i",1,"724","nyssa sinensis","nyssa","nyssaceae","tree","R","seedling","n",2,3,3,0,0,0.05,0.9,NA,NA,NA,NA,9,2023,1,0,0,"regeneration"
"32",2023-09-08,"a","aw14","aw14-ii",1,"135","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI","sapling","1",31,9,4,0,0,0.2,0.5,NA,NA,NA,NA,9,2023,0.444444444444444,0,0,"main stem died (b); external invader"
"33",2023-09-08,"a","aw14","aw14-ii",1,"16","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","1;6",2,2,2,2,NA,0.6,0.8,0.1,NA,NA,NA,9,2023,1,NA,1,"external invader"
"34",2023-09-08,"a","aw14","aw14-ii",1,"178","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI","sapling","1",61,100,40,3,0,0.01,0.5,0.05,0.05,NA,NA,9,2023,0.4,0,0.03,"3; external invader"
"35",2023-09-08,"a","aw14","aw14-ii",1,"221","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","sapling","1",22,11,8,0,0,0.1,0.7,NA,NA,NA,NA,9,2023,0.727272727272727,0,0,"external invader"
"36",2023-09-08,"a","aw14","aw14-ii",1,"322","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","sapling","1",19,4,4,1,NA,0.3,0.9,0.01,0.05,NA,NA,9,2023,1,NA,0.25,"external invader"
"37",2023-09-08,"a","aw14","aw14-ii",1,"5","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","1",9,7,5,0,0,0.6,0.9,NA,NA,NA,NA,9,2023,0.714285714285714,0,0,"external invader"
"38",2023-09-08,"a","aw14","aw14-ii",1,"565","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI","sapling","n",63,16,15,0,0,0.05,0.5,NA,NA,NA,NA,9,2023,0.9375,0,0,"external invader"
"39",2023-09-08,"a","aw14","aw14-ii",1,"606","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI","seedling","n",11,10,3,0,0,0.01,0.1,NA,NA,NA,NA,9,2023,0.3,0,0,"external invader"
"40",2023-09-08,"a","aw14","aw14-ii",1,"852","unknown sp.","unknown","unknown","unknown",NA,"seedling","n",5,10,3,0,0,0.01,0.1,NA,NA,NA,NA,9,2023,0.3,0,0,NA
"41",2023-09-08,"a","aw14","aw14-ii",1,"963","trema cannabina","trema","cannabaceae","tree","EI","seedling","n",13,12,1,0,0,0.1,0.1,NA,NA,NA,NA,9,2023,0.0833333333333333,0,0,"external invader"
"42",2023-09-08,"a","aw14","aw14-iii",1,"141","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","1",12,8,8,0,0,0.2,0.95,NA,NA,NA,NA,9,2023,1,0,0,"external invader"
"43",2023-09-08,"a","aw14","aw14-iii",1,"203","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","1",8,7,7,1,0,0.4,0.9,0.9,0.9,NA,NA,9,2023,1,0,0.142857142857143,"external invader"
"44",2023-09-08,"a","aw14","aw14-iii",1,"235","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","1",4,3,1,0,0,0.2,0.2,NA,NA,NA,NA,9,2023,0.333333333333333,0,0,"external invader"
"45",2023-09-08,"a","aw14","aw14-iii",1,"403","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","sapling","1",16,11,11,NA,NA,0.2,0.9,NA,NA,NA,NA,9,2023,1,NA,NA,"external invader"
"46",2023-09-08,"a","aw14","aw14-iii",1,"416","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","1",6,4,4,1,0,0.2,0.8,0.01,0.05,NA,NA,9,2023,1,0,0.25,"external invader"
"47",2023-09-08,"a","aw14","aw14-iii",1,"494","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","1",7,9,6,0,0,0.2,0.6,NA,NA,NA,NA,9,2023,0.666666666666667,0,0,"external invader"
"48",2023-09-08,"a","aw14","aw14-iv",1,"163","mussaenda esquirolii","musseanda","rubiaceae","shrub/tree","EI","sapling","1",21,24,20,0,0,0.01,0.3,NA,NA,NA,NA,9,2023,0.833333333333333,0,0,"external invader"
"49",2023-09-08,"a","aw14","aw14-iv",1,"183","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","x",7,5,3,0,0,0.15,0.85,NA,NA,NA,NA,9,2023,0.6,0,0,"same individual as 19, above values merged already. values repeated here for completeness of data; external invader"
"50",2023-09-08,"a","aw14","aw14-iv",1,"19","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","1",8,8,6,0,0,0.05,0.85,NA,NA,NA,NA,9,2023,0.75,0,0,"external invader"
"51",2023-09-08,"a","aw14","aw14-iv",1,"214","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","sapling","1",27,8,8,0,0,0.1,0.6,NA,NA,NA,NA,9,2023,1,0,0,"external invader"
"52",2023-09-08,"a","aw14","aw14-iv",1,"31x","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI",NA,"d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2023,NA,NA,NA,"external invader"
"53",2023-09-08,"a","aw14","aw14-iv",1,"32","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI","sapling","1",51,55,15,0,4,0.05,0.3,NA,NA,0.01,0.05,9,2023,0.272727272727273,0.0727272727272727,0,"external invader"
"54",2023-09-08,"a","aw14","aw14-iv",1,"356","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI","sapling","1",24,33,8,0,0,0.01,0.1,NA,NA,NA,NA,9,2023,0.242424242424242,0,0,"external invader"
"55",2023-09-08,"a","aw14","aw14-iv",1,"358","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","1",12,2,2,0,0,0.6,0.85,NA,NA,NA,NA,9,2023,1,0,0,"external invader"
"56",2023-09-08,"a","aw14","aw14-iv",1,"378","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI",NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2023,NA,NA,NA,"external invader"
"57",2023-09-08,"a","aw14","aw14-iv",1,"433","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","1",13,3,3,0,0,0.5,0.85,NA,NA,NA,NA,9,2023,1,0,0,"external invader"
"58",2023-09-08,"a","aw14","aw14-iv",1,"446","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI","sapling","1",37,60,8,0,0,0.05,0.5,NA,NA,NA,NA,9,2023,0.133333333333333,0,0,"external invader"
"59",2023-09-08,"a","aw14","aw14-iv",1,"461","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","1",13,5,5,0,0,0.4,0.9,NA,NA,NA,NA,9,2023,1,0,0,"external invader"
"60",2023-09-08,"a","aw14","aw14-iv",1,"66","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","1",7,3,3,0,0,0.2,0.9,NA,NA,NA,NA,9,2023,1,0,0,"external invader"
"61",2023-09-08,"a","aw14","aw14-iv",1,"847","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI","sapling","n",38,13,7,0,5,0.01,0.1,NA,NA,0.01,0.1,9,2023,0.538461538461538,0.384615384615385,0,"external invader"
"62",2023-09-09,"a","ac32","ac32-i",2,"276","lindera reflexa","lindera","lauraceae","shrub/tree","EI","sapling","1",44,11,3,0,1,0.2,0.3,NA,NA,0.01,0.01,9,2023,0.272727272727273,0.0909090909090909,0,"external invader"
"63",2023-09-09,"a","ac32","ac32-i",2,"327","lindera reflexa","lindera","lauraceae","shrub/tree","EI","sapling","1",63,41,4,6,0,0.05,0.4,0.05,0.15,NA,NA,9,2023,0.0975609756097561,0,0.146341463414634,"external invader"
"64",2023-09-09,"a","ac32","ac32-i",2,"597","lindera reflexa","lindera","lauraceae","shrub/tree","EI","sapling","1",61,100,80,0,0,0.05,0.3,NA,NA,NA,NA,9,2023,0.8,0,0,"3; external invader"
"65",2023-09-09,"a","ac32","ac32-ii",2,"333","syzygium buxifolium","syzygium","myrtaceae","shrub/tree","II","sapling","1",71,300,70,0,50,0.05,0.6,NA,NA,0.1,0.7,9,2023,0.233333333333333,0.166666666666667,0,"10; internal invader"
"66",2023-09-09,"a","ac32","ac32-ii",2,"666","quercus fabri","quercus","fagaceae","tree","II","sapling","1",31,30,30,3,0,0.05,0.6,0.01,0.1,NA,NA,9,2023,1,0,0.1,"internal invader"
"67",2023-09-09,"a","ac32","ac32-iii",2,"660","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI","sapling","1",104,450,30,0,15,0.03,0.1,NA,NA,0.3,0.3,9,2023,0.0666666666666667,0.0333333333333333,0,"14; external invader"
"68",2023-09-09,"a","ac32","ac32-iii",2,"667","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI","sapling","1",86,86,78,0,0,0.01,0.9,NA,NA,NA,NA,9,2023,0.906976744186046,0,0,"external invader"
"69",2023-09-09,"a","ac32","ac32-iv",2,"1740","ilex suaveolens","ilex","aquifoliaceae","shrub/tree","EI","sapling","1",64,150,65,0,0,0.01,0.1,NA,NA,NA,NA,9,2023,0.433333333333333,0,0,"new label, was 775.; 5; external invader"
"70",2023-09-09,"a","ac32","ac32-iv",2,"349","ilex suaveolens","ilex","aquifoliaceae","shrub/tree","EI","sapling","1",57,48,8,0,3,0.01,0.3,NA,NA,0.03,0.05,9,2023,0.166666666666667,0.0625,0,"external invader"
"71",2023-09-09,"a","ac32","ac32-iv",2,"716","camellia sinensis","camellia","theaceae","shrub/tree","EI","sapling","n",92,120,40,0,0,0.01,0.4,NA,NA,NA,NA,9,2023,0.333333333333333,0,0,"4; external invader"
"72",2023-09-09,"a","ap23","ap23-i",2,"888","syzygium buxifolium","syzygium","myrtaceae","shrub/tree","II","sapling","n",30,150,50,15,0,0.01,0.3,0.05,0.4,NA,NA,9,2023,0.333333333333333,0,0.1,"5; internal invader"
"73",2023-09-09,"a","ar14","ar14-iv",1,"892","smilax china","smilax","smilacaceae","shrub/liana","EI","seedling","n",8,2,0,0,0,NA,NA,NA,NA,NA,NA,9,2023,0,0,0,"external invader"
"74",2023-09-09,"a","ar14","ar14-iv",1,"980","smilax china","smilax","smilacaceae","shrub/liana","EI","seedling","n",13,9,0,0,0,NA,NA,NA,NA,NA,NA,9,2023,0,0,0,"external invader"
"75",2023-09-10,"a","ae33","ae33-ii",1,"299","lithocarpus glaber","lithocarpus","fagaceae","tree","R","sapling","r",75,47,6,0,2,0.05,0.95,NA,NA,0.4,0.4,9,2023,0.127659574468085,0.0425531914893617,0,"label corrected in census, outgrowth of planted sapling; regeneration"
"76",2023-09-10,"a","ae33","ae33-iii",1,"110","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II","seedling","1",11,8,2,0,0,0.1,0.1,NA,NA,NA,NA,9,2023,0.25,0,0,"internal invader"
"77",2023-09-10,"a","ae33","ae33-iii",1,"185","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II","seedling","1",12,10,0,1,0,NA,NA,0.2,0.2,NA,NA,9,2023,0,0,0.1,"internal invader"
"78",2023-09-10,"a","ae33","ae33-iii",1,"288","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II","sapling","n",29,11,4,2,0,0.15,0.3,0.03,0.2,NA,NA,9,2023,0.363636363636364,0,0.181818181818182,"check label.; internal invader"
"79",2023-09-10,"a","ae33","ae33-iii",1,"292","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II","sapling","1",37,29,3,0,0,0.01,0.3,NA,NA,NA,NA,9,2023,0.103448275862069,0,0,"internal invader"
"80",2023-09-10,"a","ae33","ae33-iii",1,"369","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2023,NA,NA,NA,"internal invader"
"81",2023-09-10,"a","ae33","ae33-iii",1,"399","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI","sapling","1",43,120,36,16,0,0.05,0.25,0.01,0.05,NA,NA,9,2023,0.3,0,0.133333333333333,"label corrected in census. 4; external invader"
"82",2023-09-10,"a","ae33","ae33-iii",1,"402","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II","sapling","1",42,32,9,1,0,0.05,0.2,0.03,0.03,NA,NA,9,2023,0.28125,0,0.03125,"internal invader"
"83",2023-09-10,"a","ae33","ae33-iii",1,"405","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II","seedling","1",13,16,7,0,3,0.05,0.2,NA,NA,0.01,0.6,9,2023,0.4375,0.1875,0,"internal invader"
"84",2023-09-10,"a","ae33","ae33-iii",1,"41","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II","sapling","1",41,42,9,0,0,0.05,0.1,NA,NA,NA,NA,9,2023,0.214285714285714,0,0,"internal invader"
"85",2023-09-10,"a","ae33","ae33-iii",1,"637","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",NA,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2023,NA,NA,NA,"ben are you serious. no measurements on this one you just tagged it and moved on; internal invader"
"86",2023-09-10,"a","ae33","ae33-iii",1,"83","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II","sapling","1",24,25,2,2,0,0.05,0.25,0.01,0.03,NA,NA,9,2023,0.08,0,0.08,"internal invader"
"87",2023-09-10,"a","ae33","ae33-iii",1,"987","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II","sapling","n",22,4,0,0,0,NA,NA,NA,NA,NA,NA,9,2023,0,0,0,"internal invader"
"88",2023-09-10,"a","ae33","ae33-iv",1,"376","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI","sapling","1",59,56,8,0,1,0.01,0.05,NA,NA,0.05,0.05,9,2023,0.142857142857143,0.0178571428571429,0,"external invader"
"89",2023-09-10,"a","af21","af21-i",1,"351","clerodendrum cyrtophyllum","clerodendrum","lamiaceae","shrub/tree","EI","sapling","1",65,30,8,0,0,0.1,0.5,NA,NA,NA,NA,9,2023,0.266666666666667,0,0,"external invader"
"90",2023-09-10,"a","af21","af21-i",1,"757","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II","sapling","n",63,12,0,0,0,NA,NA,NA,NA,NA,NA,9,2023,0,0,0,"internal invader"
"91",2023-09-10,"a","af21","af21-ii",1,"572","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI","sapling","1",63,150,20,0,0,0.01,0.05,NA,NA,NA,NA,9,2023,0.133333333333333,0,0,"5; external invader"
"92",2023-09-10,"a","af21","af21-ii",1,"578","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI","sapling","1",78,210,21,0,0,0.1,0.3,NA,NA,NA,NA,9,2023,0.1,0,0,"7; external invader"
"93",2023-09-10,"a","af21","af21-ii",1,"878","loropetalum chinense","loropetalum","hamamelidaceae","shrub","II","sapling","n",37,150,20,0,0,0.01,0.05,NA,NA,NA,NA,9,2023,0.133333333333333,0,0,"5; internal invader"
"94",2023-09-10,"a","af21","af21-iii",1,"131","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI",NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2023,NA,NA,NA,"external invader"
"95",2023-09-10,"a","af21","af21-iii",1,"470","dalbergia hupeana","dalbergia","fabaceae","tree","EI","sapling","1",51,11,7,1,0,0.1,0.5,0.2,0.2,NA,NA,9,2023,0.636363636363636,0,0.0909090909090909,"external invader"
"96",2023-09-10,"a","af21","af21-iii",1,"695","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II","sapling","1",47,24,5,2,0,0.01,0.1,0.01,0.03,NA,NA,9,2023,0.208333333333333,0,0.0833333333333333,"label corrected in census; 24 leaves ip; internal invader"
"97",2023-09-10,"a","af21","af21-iii",1,"748","calicarpa dichotoma","calicarpa","lamiaceae","shrub/tree","EI","sapling","n",28,27,0,0,0,NA,NA,NA,NA,NA,NA,9,2023,0,0,0,"27 leaves in plot; external invader"
"98",2023-09-10,"a","af21","af21-iv",1,"592","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI","sapling","1",68,180,18,0,0,0.01,0.05,NA,NA,NA,NA,9,2023,0.1,0,0,"label corrected in census; 6; external invader"
"99",2023-09-10,"a","af21","af21-iv",1,"714","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II","sapling","1",39,36,2,0,0,0.01,0.2,NA,NA,NA,NA,9,2023,0.0555555555555556,0,0,"internal invader"
"100",2023-09-10,"a","ag24","ag24-i",1,"317","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI","sapling","1",41,22,5,8,10,0.05,0.15,0.01,0.03,0.03,0.1,9,2023,0.227272727272727,0.454545454545455,0.363636363636364,"external invader"
"101",2023-09-10,"a","ag24","ag24-ii",1,"857","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI","sapling","n",27,25,0,2,0,NA,NA,0.01,0.01,NA,NA,9,2023,0,0,0.08,"external invader"
"102",2023-09-10,"a","ag24","ag24-iii",1,"162","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI",NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2023,NA,NA,NA,"absent, may have been in ag24-ii,; external invader"
"103",2023-09-10,"a","ai12","ai12-i",1,"246","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI","sapling","1",36,28,6,0,1,0.05,0.3,NA,NA,0.15,0.15,9,2023,0.214285714285714,0.0357142857142857,0,"partially in plot; external invader"
"104",2023-09-10,"a","ai12","ai12-i",1,"449","cinnamomum camphora","cinnamomum","lauraceae","tree","II","sapling","1",48,100,97,0,7,0.5,0.6,NA,NA,0.03,0.1,9,2023,0.97,0.07,0,"3; internal invader"
"105",2023-09-10,"a","ai12","ai12-i",1,"473","syzygium buxifolium","syzygium","myrtaceae","shrub/tree","II","sapling","1",22,53,4,0,0,0.03,0.2,NA,NA,NA,NA,9,2023,0.0754716981132075,0,0,"internal invader"
"106",2023-09-10,"a","ai12","ai12-i",1,"950","calicarpa dichotoma","calicarpa","lamiaceae","shrub/tree","EI","sapling","n",64,19,19,0,0,0.05,0.75,NA,NA,NA,NA,9,2023,1,0,0,"external invader"
"107",2023-09-10,"a","ai12","ai12-i",1,"973","loropetalum chinense","loropetalum","hamamelidaceae","shrub","II","sapling","n",25,33,0,5,0,NA,NA,0.01,0.05,NA,NA,9,2023,0,0,0.151515151515152,"internal invader"
"108",2023-09-10,"a","ai12","ai12-ii",1,"563","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI","sapling","1",43,120,28,20,0,0.05,0.1,0.1,0.3,NA,NA,9,2023,0.233333333333333,0,0.166666666666667,"5; external invader"
"109",2023-09-10,"a","ai12","ai12-ii",1,"588","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI","sapling","1",38,100,27,0,23,0.05,0.2,NA,NA,0.01,0.05,9,2023,0.27,0.23,0,"3; external invader"
"110",2023-09-10,"a","ai12","ai12-ii",1,"625","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI","sapling","1",44,49,8,7,0,0.01,0.15,0.05,0.2,NA,NA,9,2023,0.163265306122449,0,0.142857142857143,"external invader"
"111",2023-09-10,"a","ai12","ai12-ii",1,"778","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI","sapling","1",21,33,7,0,0,0.05,0.6,NA,NA,NA,NA,9,2023,0.212121212121212,0,0,"external invader"
"112",2023-09-10,"a","ai12","ai12-ii",1,"872","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II","sapling","n",26,23,2,0,0,0.01,0.05,NA,NA,NA,NA,9,2023,0.0869565217391304,0,0,"internal invader"
"113",2023-09-10,"a","ai12","ai12-ii",1,"970","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","EI","sapling","n",17,13,0,2,0,NA,NA,0.01,0.03,NA,NA,9,2023,0,0,0.153846153846154,"external invader"
